Product_Variant_ID,Product_ID,Variant_Title,Product_Handle,Product_Title_HE,Product_Available,Variant_Available,Time_Dimension,qty_sold_total,Type
8018935283997_מולטיקם,8018935283997,מולטיקם,pincer-single-556-mag-pouch,Pincer™‎‎‎‎‎‎‎‎‎ - פונדה קשיחה למחסנית ,True,False,Sunday,0.0,Weekday
8018935283997_מולטיקם,8018935283997,מולטיקם,pincer-single-556-mag-pouch,Pincer™‎‎‎‎‎‎‎‎‎ - פונדה קשיחה למחסנית ,True,False,Thursday,0.0,Weekday
8018935283997_מולטיקם,8018935283997,מולטיקם,pincer-single-556-mag-pouch,Pincer™‎‎‎‎‎‎‎‎‎ - פונדה קשיחה למחסנית ,True,False,Tuesday,0.0,Weekday
8018935283997_מולטיקם,8018935283997,מולטיקם,pincer-single-556-mag-pouch,Pincer™‎‎‎‎‎‎‎‎‎ - פונדה קשיחה למחסנית ,True,False,Wednesday,0.0,Weekday
8018935283997_שחור,8018935283997,שחור,pincer-single-556-mag-pouch,Pincer™‎‎‎‎‎‎‎‎‎ - פונדה קשיחה למחסנית ,True,True,Friday,0.0,Weekday
8018935283997_שחור,8018935283997,שחור,pincer-single-556-mag-pouch,Pincer™‎‎‎‎‎‎‎‎‎ - פונדה קשיחה למחסנית ,True,True,Monday,0.0,Weekday
8018935283997_שחור,8018935283997,שחור,pincer-single-556-mag-pouch,Pincer™‎‎‎‎‎‎‎‎‎ - פונדה קשיחה למחסנית ,True,True,Saturday,0.0,Weekday
8018935283997_שחור,8018935283997,שחור,pincer-single-556-mag-pouch,Pincer™‎‎‎‎‎‎‎‎‎ - פונדה קשיחה למחסנית ,True,True,Sunday,7.0,Weekday
8018935283997_שחור,8018935283997,שחור,pincer-single-556-mag-pouch,Pincer™‎‎‎‎‎‎‎‎‎ - פונדה קשיחה למחסנית ,True,True,Thursday,5.0,Weekday
8018935283997_שחור,8018935283997,שחור,pincer-single-556-mag-pouch,Pincer™‎‎‎‎‎‎‎‎‎ - פונדה קשיחה למחסנית ,True,True,Tuesday,0.0,Weekday
8018935283997_שחור,8018935283997,שחור,pincer-single-556-mag-pouch,Pincer™‎‎‎‎‎‎‎‎‎ - פונדה קשיחה למחסנית ,True,True,Wednesday,2.0,Weekday
8018935382301_חום,8018935382301,חום,fanny-pack-conversion-strap,Six Pack™ - 'רצועת המרה לפאוץ,False,False,Friday,0.0,Weekday
8018935382301_חום,8018935382301,חום,fanny-pack-conversion-strap,Six Pack™ - 'רצועת המרה לפאוץ,False,False,Monday,0.0,Weekday
